GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | XG -> LZ | LO -> XT | PG -> XO | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | PG -> XO | LT -> EZ | EO -> GL | XG -> LZ
GOP x4 + E  =>  PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | PG -> XO | PG -> XO | LO -> XT | EO -> GL | GOTZ -> ELPX | PG -> XO | EO -> GL | XG -> LZ
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PG -> XO | GOTZ -> ELPX | EO -> GL | XG -> LZ | LO -> XT | LT -> EZ | PZ -> EG | XG -> LZ | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PG -> XO | GOTZ -> ELPX | EO -> GL | XG -> LZ | LO -> XT | PZ -> EG | LT -> EZ | XG -> LZ | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PG -> XO | XG -> LZ | LO -> XT | PZ -> EG | EO -> GL | LO -> XT | GOTZ -> ELPX | LT -> EZ | XG -> LZ | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | PG -> XO | PZ -> EG | XG -> LZ | XG -> LZ | EO -> GL | XG -> LZ | LT -> EZ | EO -> GL | LO -> XT | LT -> EZ | EO -> GL | LO -> XT | GOTZ -> ELPX | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | EO -> GL | XG -> LZ | PZ -> EG | GOTZ -> ELPX | LO -> XT | EO -> GL | PG -> XO | EO -> GL | LT -> EZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | PZ -> EG | EO -> GL | GOTZ -> ELPX | LO -> XT | LT -> EZ | EO -> GL | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | PZ -> EG | GOTZ -> ELPX | EO -> GL | LO -> XT | LT -> EZ | EO -> GL | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | PZ -> EG | PG -> XO | EO -> GL | GOTZ -> ELPX | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | LT -> EZ | PZ -> EG | XG -> LZ | LO -> XT | EO -> GL | GOTZ -> ELPX | EO -> GL | PG -> XO | EO -> GL | LT -> EZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | GOTZ -> ELPX | EO -> GL | LT -> EZ | LO -> XT | LT -> EZ | EO -> GL | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | GOTZ -> ELPX | LO -> XT | EO -> GL | LT -> EZ | LT -> EZ | EO -> GL | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | PG -> XO | EO -> GL | LT -> EZ | GOTZ -> ELPX | LO -> XT | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | XG -> LZ | EO -> GL | LT -> EZ | GOTZ -> ELPX | LO -> XT | EO -> GL | PG -> XO | EO -> GL | LT -> EZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | LO -> XT | EO -> GL | LT -> EZ | GOTZ -> ELPX | LT -> EZ | EO -> GL | PG -> XO | EO -> GL | XG -> LZ | PG -> XO | EO -> GL
GOP x4 + G  =>  PG -> XO | PG -> XO | XG -> LZ | LO -> XT | XG -> LZ | LO -> XT | XG -> LZ | PZ -> EG | LO -> XT | PG -> XO | EO -> GL | LT -> EZ | GOTZ -> ELPX | EO -> GL | EO -> GL | LT -> EZ | XG -> LZ | PG -> XO | EO -> GL
